distrito,beat,conteo
1,123,2011
1,112,1636
1,111,1510
2,222,1534
2,234,1279
2,212,1142
3,331,1510
3,321,1394
3,323,1252
4,421,1742
4,423,1382
4,414,1212
5,511,1406
5,513,1136
5,512,1089
6,624,1569
6,631,1541
6,612,1438
7,731,910
7,712,903
7,723,792
8,823,1525
8,813,1319
8,833,1105
9,914,1107
9,915,972
9,912,866
10,1011,1166
10,1021,1061
10,1022,799
11,1112,1212
11,1135,1171
11,1133,1167
12,1214,1679
12,1224,1479
12,1232,1459
14,1424,1035
14,1432,927
14,1433,791
15,1533,1222
15,1522,1196
15,1532,1015
16,1622,820
16,1633,815
16,1623,798
17,1712,1055
17,1722,971
17,1723,905
18,1834,2917
18,1831,1842
18,1832,1548
19,1924,1317
19,1925,1237
19,1935,1066
20,2011,760
20,2024,647
20,2023,613
22,2212,1068
22,2234,948
22,2223,865
24,2413,1206
24,2432,962
24,2422,924
25,2533,1329
25,2512,1290
25,2521,928
