location_description,conteo,porcentaje
STREET,62781,27.12
APARTMENT,45337,19.59
RESIDENCE,27091,11.70
SIDEWALK,11706,5.06
PARKING LOT / GARAGE (NON RESIDENTIAL),8597,3.71
SMALL RETAIL STORE,8415,3.64
DEPARTMENT STORE,5508,2.38
RESTAURANT,5183,2.24
ALLEY,4970,2.15
OTHER (SPECIFY),4159,1.80
VEHICLE NON-COMMERCIAL,3776,1.63
COMMERCIAL / BUSINESS OFFICE,3246,1.40
RESIDENCE - PORCH / HALLWAY,2785,1.20
GAS STATION,2762,1.19
GROCERY FOOD STORE,2520,1.09
RESIDENCE - YARD (FRONT / BACK),2351,1.02
RESIDENCE - GARAGE,2025,0.87
PARK PROPERTY,1725,0.75
BAR OR TAVERN,1719,0.74
CONVENIENCE STORE,1551,0.67
HOSPITAL BUILDING / GROUNDS,1547,0.67
CTA TRAIN,1519,0.66
DRUG STORE,1451,0.63
SCHOOL - PUBLIC GROUNDS,1407,0.61
SCHOOL - PUBLIC BUILDING,1284,0.55
HOTEL / MOTEL,1200,0.52
CTA BUS,1003,0.43
CTA PLATFORM,785,0.34
NURSING / RETIREMENT HOME,760,0.33
DRIVEWAY - RESIDENTIAL,703,0.30
POLICE FACILITY / VEHICLE PARKING LOT,666,0.29
BANK,656,0.28
VACANT LOT / LAND,643,0.28
CHA APARTMENT,618,0.27
CTA STATION,464,0.20
CHA PARKING LOT / GROUNDS,451,0.19
GOVERNMENT BUILDING / PROPERTY,429,0.19
LIBRARY,424,0.18
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,408,0.18
TAVERN / LIQUOR STORE,390,0.17
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,381,0.16
SCHOOL - PRIVATE GROUNDS,355,0.15
CTA BUS STOP,334,0.14
ATHLETIC CLUB,329,0.14
VEHICLE - COMMERCIAL,315,0.14
MEDICAL / DENTAL OFFICE,282,0.12
SCHOOL - PRIVATE BUILDING,210,0.09
SPORTS ARENA / STADIUM,208,0.09
WAREHOUSE,192,0.08
CURRENCY EXCHANGE,179,0.08
CHA HALLWAY / STAIRWELL / ELEVATOR,167,0.07
OTHER RAILROAD PROPERTY / TRAIN DEPOT,167,0.07
CTA PARKING LOT / GARAGE / OTHER PROPERTY,158,0.07
AUTO / BOAT / RV DEALERSHIP,151,0.07
APPLIANCE STORE,150,0.06
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,147,0.06
AIRPORT PARKING LOT,144,0.06
CONSTRUCTION SITE,142,0.06
BARBERSHOP,133,0.06
DAY CARE CENTER,121,0.05
LAKEFRONT / WATERFRONT / RIVERBANK,121,0.05
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,111,0.05
ABANDONED BUILDING,107,0.05
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",104,0.04
FACTORY / MANUFACTURING BUILDING,100,0.04
CAR WASH,100,0.04
ATM (AUTOMATIC TELLER MACHINE),96,0.04
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,95,0.04
AIRPORT EXTERIOR - NON-SECURE AREA,94,0.04
COLLEGE / UNIVERSITY - GROUNDS,92,0.04
OTHER COMMERCIAL TRANSPORTATION,81,0.03
CLEANING STORE,78,0.03
MOVIE HOUSE / THEATER,76,0.03
AIRPORT EXTERIOR - SECURE AREA,74,0.03
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,71,0.03
FEDERAL BUILDING,70,0.03
CASINO/GAMBLING ESTABLISHMENT,68,0.03
AIRCRAFT,67,0.03
VEHICLE - DELIVERY TRUCK,53,0.02
HIGHWAY / EXPRESSWAY,50,0.02
JAIL / LOCK-UP FACILITY,40,0.02
BOAT / WATERCRAFT,40,0.02
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,36,0.02
FIRE STATION,31,0.01
TAXICAB,31,0.01
HOUSE,29,0.01
BRIDGE,23,0.01
PARKING LOT,22,0.01
COLLEGE / UNIVERSITY - RESIDENCE HALL,21,0.01
PAWN SHOP,17,0.01
COIN OPERATED MACHINE,15,0.01
AUTO,14,0.01
YARD,13,0.01
ANIMAL HOSPITAL,13,0.01
AIRPORT VENDING ESTABLISHMENT,13,0.01
AIRPORT TRANSPORTATION SYSTEM (ATS),12,0.01
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,12,0.01
BOWLING ALLEY,11,0.00
FOREST PRESERVE,10,0.00
CREDIT UNION,9,0.00
CEMETARY,8,0.00
CTA TRACKS - RIGHT OF WAY,6,0.00
PORCH,6,0.00
VEHICLE - COMMERCIAL: TROLLEY BUS,6,0.00
POOL ROOM,5,0.00
VACANT LOT,5,0.00
SAVINGS AND LOAN,4,0.00
CHA PARKING LOT,3,0.00
RAILROAD PROPERTY,3,0.00
FARM,3,0.00
CTA PROPERTY,3,0.00
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,3,0.00
"CTA ""L"" PLATFORM",2,0.00
DRIVEWAY,2,0.00
HOSPITAL,2,0.00
RETAIL STORE,2,0.00
"CTA ""L"" TRAIN",2,0.00
CHA GROUNDS,2,0.00
KENNEL,2,0.00
LAKE,2,0.00
BASEMENT,1,0.00
BARBER SHOP/BEAUTY SALON,1,0.00
HOTEL,1,0.00
CHA STAIRWELL,1,0.00
RIVER BANK,1,0.00
NEWSSTAND,1,0.00
GARAGE,1,0.00
TAVERN,1,0.00
HALLWAY,1,0.00
GANGWAY,1,0.00
