block,total_incidents,total_arrests,arrest_rate_pct
0000X W TERMINAL ST,552,171,30.98
001XX N STATE ST,515,207,40.19
0000X N STATE ST,461,85,18.44
006XX N LA SALLE DR,407,56,13.76
049XX S KEDZIE AVE,333,20,6.01
0000X S STATE ST,324,133,41.05
076XX S CICERO AVE,323,64,19.81
044XX N BROADWAY,283,140,49.47
0000X E GRAND AVE,282,90,31.91
026XX N ELSTON AVE,255,175,68.63
006XX N CLARK ST,249,120,48.19
011XX W JACKSON BLVD,245,113,46.12
057XX S CICERO AVE,245,92,37.55
032XX N CLARK ST,237,36,15.19
011XX S CLARK ST,224,159,70.98
005XX N STATE ST,217,99,45.62
011XX S CANAL ST,217,45,20.74
004XX N MICHIGAN AVE,216,34,15.74
065XX S DR MARTIN LUTHER KING JR DR,214,70,32.71
002XX E HURON ST,207,48,23.19
